Subject,Start Date,End Date,All Day Event,Description,Location
Term Ends,05/08/2032,05/08/2032,True,,
Term Ends,08/06/2032,08/06/2032,True,,
Commencements,12/21/2031,12/21/2031,True,,
Commencements,05/14/2032,05/17/2032,True,,
Commencements,08/07/2032,08/07/2032,True,,
Fall Break,10/13/2031,10/15/2031,True,,
Spring Break,03/15/2032,03/21/2032,True,,
Thanksgiving Break,11/26/2031,11/30/2031,True,,
Memorial Day - University Closed,05/31/2032,05/31/2032,True,,
Fourth of July - University Closed,07/05/2032,07/05/2032,True,,
Labor Day - University Closed,09/01/2031,09/01/2031,True,,
MLK Day - University Closed,01/19/2032,01/19/2032,True,,
President’s Designated Holiday,12/30/2031,12/30/2031,True,,
Christmas Holiday - University Closed,12/23/2031,12/25/2031,True,,
New Year’s Day - University Closed,12/31/2031,12/31/2031,True,,
Classes/Term Begin,08/23/2032,08/23/2032,True,,
Classes/Term Begin,12/20/2032,12/20/2032,True,,
Classes/Term Begin,01/10/2033,01/10/2033,True,,
Classes/Term Begin,05/16/2033,05/16/2033,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/11/2032,06/11/2032,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/17/2032,09/17/2032,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/04/2033,02/04/2033,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/10/2033,06/10/2033,True,,
Classes End,12/11/2032,12/11/2032,True,,
Classes End,01/07/2033,01/07/2033,True,,
Classes End,04/30/2033,04/30/2033,True,,
Classes End,08/05/2033,08/05/2033,True,,
Final Exams,12/13/2032,12/19/2032,True,,
Final Exams,05/02/2033,05/08/2033,True,,
Term Ends,12/18/2032,12/18/2032,True,,
Term Ends,01/07/2033,01/07/2033,True,,
Term Ends,05/07/2033,05/07/2033,True,,
Term Ends,08/05/2033,08/05/2033,True,,
Commencements,12/19/2032,12/19/2032,True,,
Commencements,05/13/2033,05/16/2033,True,,
Commencements,08/06/2033,08/06/2033,True,,
Fall Break,10/11/2032,10/13/2032,True,,
Spring Break,03/14/2033,03/20/2033,True,,
Thanksgiving Break,11/24/2032,11/28/2032,True,,
Memorial Day - University Closed,05/30/2033,05/30/2033,True,,
Juneteenth - Class in Session,06/19/2032,06/19/2032,True,,
Juneteenth - Class in Session,06/19/2033,06/19/2033,True,,
Fourth of July - University Closed,07/04/2033,07/04/2033,True,,
Labor Day - University Closed,09/06/2032,09/06/2032,True,,
MLK Day - University Closed,01/17/2033,01/17/2033,True,,
President’s Designated Holiday,12/30/2032,12/30/2032,True,,
Christmas Holiday - University Closed,12/23/2032,12/25/2032,True,,
